,station_code,station_actual,station_new,Zone,State,Name,Longitude,Latitude
0,KYO,KHANDIKAR,KHANDIKAR Assam,North Frontier Railway,Assam,"Khandikar, Rangia Latibari PWD Road, Kachari Solmari, Assam 781354, India",91.6460962,26.4654663
0,DTAE,DHATRIGRAM,DHATRIGRAM West Bengal,Eastern Railway,West Bengal,"Dhatrigram, West Bengal 713405, India",88.3129969,23.2795546
0,MA,Ma Belhadevi Dp,Ma Belhadevi Dp Maharashtra,Central Railway,Maharashtra,"Maharashtra, India",75.7138884,19.7514798
0,JIND,Jind Jn,Jind Jn Haryana,Northern Railway,Haryana,"Jind, Haryana, India",76.2997909,29.325508
0,NYY,Neyyattinkara,Neyyattinkara Kerala,Southern Railway,Kerala,"Neyyattinkara, Kerala, India",77.0860939,8.4026673
0,BUX,Bhandak,Bhandak Maharashtra,Central Railway,Maharashtra,"Bhandak, Gaurala, Bhadravati, Maharashtra 442902, India",79.1129195,20.084675
0,MIQ,Mirhakur,Mirhakur Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Mirhakur, Agra - Jaipur Rd, Midhakur, Uttar Pradesh 283105, India",77.8661144,27.1507298
0,MXL,Mokholi,Mokholi Rajasthan,West Central Railway,Rajasthan,"Mokholi, Rahitha Khurd, Rajasthan 322034, India",76.4617413,26.1616791
0,CPU,Chopan,Chopan Uttar Pradesh,East Central Railway,Uttar Pradesh,"Chopan, Uttar Pradesh 231205, India",83.0200245,24.5232651
0,RAJP,RAJAPUR,RAJAPUR Maharashtra,Konkan Railway,Maharashtra,"Rajapur, Maharashtra 416702, India",73.5211286,16.6571252
0,MULK,Mulki,Mulki Karnataka,Konkan Railway,Karnataka,"Mulki, Kilpady, Karnataka, India",74.7942562,13.0857779
0,DVG,Davangere,Davangere Karnataka,South Western Railway,Karnataka,"Davanagere, Karnataka, India",75.921758,14.4644085
0,RAA,Barara,Barara Haryana,Northern Railway,Haryana,"Barara, Haryana, India",77.0401544,30.2120078
0,UJN,Ujjain Jn,Ujjain Jn Madhya Pradesh,Western Railway,Madhya Pradesh,"Ujjain Junction, Malipura, Ujjain, Madhya Pradesh 456001, India",75.78008,23.17837
0,DVL,Devlali,Devlali Maharashtra,Central Railway,Maharashtra,"Deolali, Maharashtra, India",73.8329103,19.9068711
0,DQG,Dhupguri,Dhupguri West Bengal,North Frontier Railway,West Bengal,"Dhupguri, West Bengal 735210, India",89.0051441,26.5821321
